Lake Panorama,"1,196"
Villisca,"1,194"
Jewell Junction,"1,187"
Laurens,"1,180"
St. Ansgar,"1,156"
Winfield and Van Meter,"1,142"
Sheffield,"1,140"
Springville,"1,139"
Lake Park,"1,137"
Elk Run Heights,"1,134"
Glidden,"1,127"
Lake View,"1,125"
Greene,"1,120"
University Heights,"1,119"
Fairbank and Malvern,"1,117"
Gilbert,"1,116"
Mechanicsville,"1,108"
Baxter,"1,103"
Conrad,"1,100"
De Soto,"1,089"
Panora,"1,085"
Hamburg,"1,082"
Aplington,"1,079"
Marcus,"1,070"
George,"1,055"
Palo,"1,053"
Riverside,"1,045"
Sidney,"1,044"
Allison,"1,029"
North English,"1,022"
Rockwell,"1,019"
Paullina,"1,017"
Eddyville,"1,012"
Gowrie,999
Aurelia,992
Griswold,984
Sloan and Tabor,979
Odebolt and Preston,978
Fruitland and Dunlap,977
Keota and Clarence,970
Wayland,969
West Point,962
Calmar and Lawton,960
Washburn,957
Anita,956
Janesville,954
Treynor,952
Shellsburg,951
Keosauqua,947
Le Grand,946
Swisher,943
Underwood,940
Lansing,939
Hinton,938
Danville,936
Princeton,929
Maxwell,923
Fredericksburg,922
Eldon,915
Donnellson,901
Buffalo Center,895
Gladbrook,890
Armstrong,889
Victor,888
Larchwood,886
Montrose,885
Schleswig,881
Primghar,879
Redfield,873
Newell,871
Edgewood,867
Neola,862
Colo,861
Newhall,850
Winthrop,849
Long Grove and Rockford,844
Dunkerton,842
McGregor,839
Hubbard,834
Afton,829
Melbourne,827
Readlyn,826
Oxford,825
Hills and Sully,822
Morning Sun and Cambridge,821
Ossian,819
Okoboji and Hazleton,818
Carson and Raymond,816
Dakota City,813
"Correctionville, Inwood, and Graettinger",811
Riceville,810
Dayton,798
Wall Lake,795
Walker,792
Earlville,790
Grand Junction,789
Exira,788
Sioux Rapids,777
Walnut,776
Manilla,775
Milo,772
Essex and Lowden,770
Alden,764
Hartford,762
West Bend,759
Whiting,753
Gilbertville,747
Schaller,745
Hedrick,744
Elkhart,742
Murray,735
Wheatland and Merrill,733
Fremont,729
Adair,728
Garnavillo,726
Stratford,725
Ventura,718
Hospers,714
Bancroft,710
Boyden,708
Ruthven,704
Lakeside,700
Wellsburg,699
Seymour,696
Battle Creek and Alburnett,695
Olin and Albert City,688
Shueyville,672
Blairstown,670
Van Horne,664
Stanwood,662
Coggon and Brighton,659
Elgin and Farmington,649
Coalville,646
Moravia,643
Agency,641
Stanton,639
Elk Horn,638
Fontanelle,636
Dexter and Crescent,630
St. Charles,628
Kanawha and Dumont,627
Pomeroy,625
What Cheer,622
Shelby and Sutherland,618
Grand Mound,617
Orleans,614
Hopkinton,613
Clermont and Keystone,609
Goldfield,608
Fonda,607
Ireton,602
Middle Amana,595
Minden,594
Kellogg,592
Doon,591
Moulton,585
Everly,581
Ainsworth,571
Anthon,569
Richland,562
Holiday Lake and Rolfe,559
Sabula,552
Badger,550
Quasqueton,547
Elma,539
Radcliffe,538
Russell and Zearing,537
Grandview,534
Early,532
Scranton,530
Norway,526
Otho,524
Swea City,521
Lovilia,519
Runnells and Batavia,516
Dows,514
Burt and Wyoming,511
Ellsworth,509
New Hartford and Garwin,508
Gilman,504
Delmar,502
Maynard and Dow City,499
New Albin,496
Allerton,495
Charter Oak and Whittemore,492
Humeston and Gilmore City,491
Lime Springs,490
Thompson,487
New Virginia,485
Oxford Junction and Klemme,484
"Collins, Truro, and Latimer",483
Beacon,480
University Park,477
Albion,476
Breda,475
Stacyville,473
Martensdale,472
Arcadia and Delhi,471
Ocheyedan,466
Lamont and Pacific Junction,457
Bayard,456
Titonka,452
Marquette,451
Alleman,443
Little Rock,441
Miles and Farragut,439
Birmingham,433
Galva,432
Ashton,430
Royal,427
"Emerson, Plainfield, and Earling",425
"Lost Nation, New Vienna, and Vail",424
Hawkeye and Lawler,423
Andrew,422
Bonaparte,419
Conesville,418
Lewis,416
Calamus,414
Riverdale and Milton,413
Stanhope,412
Worthington and Mystic,411
Bussey and Arlington,410
Thornton and New Market,408
Casey,402
Lehigh,399
Colesburg and Cumming,397
Duncombe and Bennett,394
Ringsted,392
Lynnville,390
Union,386
Minburn,384
Holy Cross and Wesley,381
Salix,380
Orient,379
Letts,377
Salem,376
Mondamin,374
Plymouth,373
Nichols and Fertile,372
Columbus City,371
Charlotte,370
Donahue and Churdan,369
Livermore,366
Callender,365
Terril,364
Garrison and Lacona,363
Ryan,362
Rudd,361
Farnhamville,359
Pierson,357
Spillville,355
Ute,353
Lohrville,350
Lorimor,349
Massena and Templeton,348
Clearfield,347
Cincinnati,345
"Diamondhead Lake, Wahpeton, and Menlo",343
Danbury,342
Middletown,338
Fort Atkinson,336
"Williams, McCallsburg, and Conroy",335
Amana,334
Libertyville and Irwin,333
"Elliott, Diagonal, and Floyd",328
Bronson,323
Sheldahl,320
Harpers Ferry,319
Peterson,318
Delta and Granville,317
McCausland and Auburn,314
Kellerton,312
"Ridgeway, Steamboat Rock, Denmark, and Kelley",309
Rhodes,308
Brandon,307
Atalissa,306
Liscomb,304
Quimby,303
"Kimballton, Lytton, Marble Rock, and Mingo",301
Bertram,300
Westside and Persia,299
Bagley,296
West Okoboji,295
Harcourt and Lester,294
Stockport and Bode,293
Twin Lakes,288
Lakota,287
Blakesburg and Ionia,286
Leland,285
"Rippey, Ladora, and Lockridge",283
Riverton,282
Holland and Maurice,280
"Defiance, Low Moor, and Protivin",279
Malcom,278
Farmersburg and Kiron,277
Luana,276
Pulaski,275
Coulter,271
Deep River,270
Crawfordsville and Corwith,269
"Mallard, Kensett, and Rowley",267
Deloit,264
Dedham and Fenton,263
Modale,262
Alta Vista and Chelsea,261
Waucoma,257
Lu Verne,255
Martelle,254
"La Motte, Wadena, Cumberland, and Grafton",253
Luxemburg,252
Greeley,251
Dixon and Meservey,248
Montour,247
Halbur and Prescott,246
Crystal Lake and Macedonia,245
Yale,244
Silver City,243
Laurel,242
Keswick and Fostoria,240
"Pisgah, Marathon, and Fredonia",239
Harvey,238
Weston and Washta,237
Renwick and Goose Lake,235
Olds,234
Stone City,231
Paton,229
"Cleghorn, Hanlontown, and New Providence",227
Hornick,226
Smithland and Grand River,225
"Cushing, Stout, Joice, and Woden",223
West Amana,222
Rake,221
Parnell and Cantril,220
Lineville and Jamaica,219
Panama and Moorhead,218
Blencoe,217
Van Wert and Packwood,215
Thurman,214
Lucas,213
Blairsburg,212
Ollie and Linden,210
Clutier,209
College Springs,208
South English,207
Melvin,206
Volga and Garden Grove,205
"Burr Oak, Arthur, and Rembrandt",204
Westgate,203
Woodburn,200
Kamrar,198
Stockton and Boxholm,197
Onslow,196
Hancock and Davis City,195
Elberon and Alvord,193
Beaman,192
Blockton,191
Barnum and Portsmouth,190
Decatur City,188
Wallingford and Gravity,187
Drakesville and Shambaugh,186
Coin,184
Henderson,183
Dickens and Tingley,182
"Sun Valley Lake, Frederika, Thor, and Rickardsville",181
Maysville and Hillsboro,180
Prairieburg,179
Lidderdale and Sherrill,176
"Kirkville, Pilot Mound, and Haverhill",175
Magnolia and Barnes City,174
Bridgewater and Climbing Hill,172
Lambs Grove and Aurora,171
"Oakville, Alexander, and Dundee",170
"Calumet, Vincent, and Randall",169
Soldier and Castalia,168
Rose Hill,167
Harris and Moorland,164
Woolstock,163
Little Sioux,162
"Leighton, Chapin, Patterson, and Geneva",161
"South Amana, Welton, Bristow, Swaledale, and Palmer",160
Millersburg,159
Exline and Lincoln,157
Delaware,156
"Randolph, Braddyville, Rowan, and Oakland Acres",155
Linn Grove,154
Reasnor,153
"Rock Falls, Mineola, and Williamson",152
McClelland and Monmouth,151
"Clemons, Hastings, and Meriden",150
Whitten and West Chester,149
Brunsville and Mount Auburn,148
Houghton and Panorama Park,144
Searsboro,143
"Ricketts, New Liberty, Clare, and Lone Rock",142
"Ayrshire, Floris, and Springbrook",140
Waterville and Franklin,139
"River Sioux, Webb, St. Lucas, and Dawson",138
Mitchell and Castana,137
Goodell,135
Bouton,134
Havelock and Larrabee,133
St. Donatus,131
St. Paul and Centralia,130
"Superior, Hamilton, Homestead, and Westfield",129
St. Marys,128
"Archer, Ledyard, and Ferguson",127
